id,name
1,Alalie
2,Emporion
3,Massalia
3,Massalia
4,Rhode
5,Abakainon
6,Adranon
7,Agyrion
8,Aitna
8,Aitna
9,Acragas
9,Akragas
9,Amisus
10,Akrai
11,Alaisa
12,Alontion
13,Apollonia
14,Engyon
15,Euboia
16,Galeria
17,Gela
17,Gela
18,Heloros (or Heleron?)
19,Henna
20,Heraclea
20,Heraclea Pontica
20,Herakleia
21,Heraclea
21,Heraclea Pontica
21,Herakleia
22,Herbessos
23,Herbita
24,Himera
25,Hippana
26,Imachara
27,Kallipolis
28,Kamarina
29,Kasmenai
30,Katane
31,Kentoripa
32,Kephaloidion
33,Leontini
33,Leontinoi
34,Lipara
35,Longane
36,Megara (Hyblaia)
37,Morgantina
38,Mylai
39,Mytistratos
40,Nakone
41,Naxos
42,Petra
43,Piakos
44,Selinous
45,Sileraioi
46,Stielanaioi
47,Syracuse
47,Syrakousai
48,Tauromenion
48,Tauromenium
49,Tyndaris
50,Tyrrhenoi
51,Messana
51,Zankle/Messana
52,Herakleia
53,Hipponion
54,Hyele/Elea
55,Kaulonia
56,Croton
56,Kroton
57,Kyme
58,Laos
59,Lokroi
60,Medma
61,Metapontion
61,Metapontum
62,Metauros
63,Neapolis
64,Pandosia
65,Pithekoussai
66,Poseidonia
67,Pyxous
68,Rhegion
69,Siris
70,Sybaris
70,Sybaris
71,Taras
72,Temesa
73,Terina
74,Thourioi
75,Adria
76,Ankon
77,Apollonia
78,Brentesion
79,Epidamnos/Dyrrhachion
80,Herakleia
81,Issa
82,Lissos
83,Melaina Korkyra
84,Pharos
84,Pharos
85,Spina
86,Amantia
87,Artichia
88,Batiai
89,Berenike
90,Boucheta
91,Bouthroton
92,Byllis
93,Dodone
94,Elateia
95,Elea
95,Elea
96,Ephyra
97,Eurymenai
98,Gitana
99,Horraon
100,Kassopa
101,Nikaia
102,Olympa
103,Orikos
104,Pandosia
105,Passaron
106,Phanote
107,Phoinike
108,Poionos
109,Tekmon
110,Torone
111,Zmaratha
112,Alyzeia
113,Ambracia
113,Ambrakia
114,Anaktorion
115,Argos
115,Argos
116,Astakos
117,Derion
118,Echinos
119,Euripos
120,Herakleia
121,Hyporeiai
122,Ithaka
123,Corcyra
123,Korkyra
124,Koronta
125,Kranioi
126,Leukas
127,Limnaia
128,Matropolis
129,Medion
130,Oiniadai
131,Palairos
132,Paleis
133,Phara
134,Phoitiai
135,Pronnoi
136,Same
137,Sollion
138,Stratos
139,Thyrreion
140,Torybeia
141,Zakynthos
142,Agrinion
143,Aigition
144,Akripos
145,Chalcis
145,Chalkis
146,Halikyrna
147,Kallion/Kallipolis
148,Kalydon
149,Makynea
150,Kasthanaie
150,Molykreion
151,Phola
152,Phylea
153,Pleuron
154,Proschion
155,Therminea
156,Trichoneion
157,Alpa
158,Amphissa
159,Chaleion
160,Hyaia
161,Hypnia
162,Issioi
163,Messapioi
164,Myania
165,Naupactus
165,Naupaktos
166,Oianthea
167,Tolophon
168,Tritea
169,Abai
170,Aiolidai
171,Ambryssos
172,Amphikaia
173,Antikyra
174,Boulis
175,Charadra
176,Daulis
177,Delphi
177,Delphoi
178,Drymos
179,Echedameia
180,Elateia
181,Erochos
182,Hyampolis
183,Kirrha
184,Ledon
184,Ledon
185,Lilaia
186,Medeon
187,Neon/Tithorea
188,Parapotamioi
189,Pedieis
190,Phanoteus/Panopeus
191,Phylgonion
192,Po
193,Stiris
194,Teithronion
195,Trachis
196,Triteis
197,Troneia
198,Akraiphia/Akraiphnion
199,Alalkomenai
200,Anthedon
201,Chaironeia
202,Chorsiai
203,Erythrai
204,Eteonos/Skaphai
205,Eutresis
206,Haliartos
207,Hyettos
208,Hysiai
209,Kopai
210,Koroneia
211,Lebadeia
212,Mykalessos
213,Orchomenos
214,Oropos
215,Pharai
216,Plataia
217,Potniaia
218,Siphai
219,Skolos
220,Tanagra
220,Tanagra
221,Thebai
222,Thespiai
223,Thisbai
224,Aigosthena
225,Megara
225,Megara
226,Pagai
227,Corinth
227,Korinthos
228,Sikyon
229,Aigai (Achaia)
230,Aigeira
231,Aigion
232,Ascheion
233,Boura
234,Dyme
235,Helike
236,Keryneia
237,Leontion
238,Olenos
239,Patrai
240,Pellene
241,Pharai
242,Phelloe
243,Rhypai/Rhype
244,Tritaia
245,Alasyaion
246,Alion
247,Amphidolia
248,Anaitoi
249,Chaladrioi
250,Dyspontion
251,Elis
251,Elis
252,Eupagion
253,Ewaoioi
254,Kyllene
255,Larissa
255,Larissa
256,Lasion
257,Lenos
258,Letrinoi
259,Marganeis
260,Metapioi
261,Opous
262,Pisa
262,Pisa
263,Pylos
264,Thraistos
265,Alea
266,Alipheira
267,Asea
268,Dipaia
269,Euaimon
270,Eutaia
271,Gortys
272,Halous
273,Helisson
274,Heraia
275,Kaphiai
276,Kleitor
277,Koila
278,Kynaitha
279,Lousoi
280,Lykosoura
281,Mantinea
